segment,cell,copiesX,copiesY
16,40,1,2
17,40,1,1
18,40,1,1
19,40,1,1
20,40,1,1
21,40,1,1
22,40,1,1
23,40,1,2
24,40,1,1
0,41,3,2
1,41,1,1
2,41,1,1
3,41,1,1
4,41,1,1
5,41,1,1
6,41,1,1
7,41,1,1
8,41,1,1
9,41,1,1
10,41,1,1
11,41,1,1
12,41,1,1
13,41,1,1
14,41,1,1
15,41,2,1
16,41,1,1
17,41,2,2
18,41,2,2
19,41,1,1
20,41,1,1
21,41,1,1
22,41,1,1
23,41,1,1
24,41,1,1
0,42,3,2
1,42,1,1
2,42,1,1
3,42,1,1
4,42,1,1
5,42,1,1
6,42,1,1
7,42,1,1
8,42,1,1
9,42,1,1
10,42,1,1
11,42,1,1
12,42,1,1
13,42,1,1
14,42,3,0
15,42,2,1
16,42,1,1
17,42,1,1
18,42,2,3
19,42,1,1
20,42,1,1
21,42,1,1
22,42,1,1
23,42,1,1
24,42,1,1
0,43,1,0
1,43,1,1
2,43,1,1
3,43,1,1
4,43,1,1
5,43,1,1
6,43,1,1
7,43,1,3
8,43,1,1
9,43,1,1
10,43,1,1
11,43,1,3
12,43,1,1
13,43,0,1
14,43,1,1
15,43,2,2
16,43,1,2
17,43,1,1
18,43,1,1
19,43,1,1
20,43,1,1
21,43,1,1
22,43,1,1
23,43,1,2
24,43,1,1
0,44,2,0
1,44,1,1
2,44,1,1
3,44,2,3
4,44,1,1
5,44,1,1
6,44,1,1
7,44,1,3
8,44,1,1
9,44,1,1
10,44,1,1
11,44,1,3
12,44,1,1
13,44,0,1
14,44,1,1
15,44,2,2
16,44,1,2
17,44,1,1
18,44,1,1
19,44,1,1
20,44,1,1
21,44,1,1
22,44,1,1
23,44,1,2
24,44,1,1
0,45,3,2
1,45,1,1
2,45,1,1
3,45,1,1
4,45,1,1
5,45,1,1
6,45,1,1
7,45,1,1
8,45,1,1
9,45,1,1
10,45,1,1
11,45,1,1
12,45,1,1
13,45,1,1
14,45,1,1
15,45,1,1
16,45,1,1
17,45,1,1
18,45,1,1
19,45,1,1
20,45,1,1
21,45,1,1
22,45,1,1
23,45,1,1
24,45,1,1
0,46,3,2
1,46,1,1
2,46,1,1
3,46,1,1
4,46,1,1
5,46,1,1
6,46,1,1
7,46,1,1
8,46,1,1
9,46,1,1
10,46,1,1
11,46,1,1
12,46,1,1
13,46,1,1
14,46,1,1
15,46,2,1
16,46,1,1
17,46,2,2
18,46,2,2
19,46,1,1
20,46,1,1
21,46,1,1
22,46,1,1
23,46,1,1
24,46,1,1
0,47,3,2
1,47,1,1
2,47,1,1
3,47,1,1
4,47,1,1
5,47,1,1
6,47,1,1
7,47,1,1
8,47,1,1
9,47,1,1
10,47,1,1
11,47,1,1
12,47,1,1
13,47,1,1
14,47,1,1
15,47,2,1
16,47,1,1
17,47,2,2
18,47,2,2
19,47,1,1
20,47,1,1
21,47,1,1
22,47,1,1
23,47,1,1
24,47,1,1
0,48,3,2
1,48,1,1
2,48,1,1
3,48,1,1
4,48,1,1
5,48,1,1
6,48,1,1
7,48,1,1
8,48,1,1
9,48,1,1
10,48,1,1
11,48,1,1
12,48,1,1
13,48,1,1
14,48,1,1
15,48,2,1
16,48,1,1
17,48,2,2
18,48,2,2
19,48,1,1
20,48,1,1
21,48,1,1
22,48,1,1
23,48,1,1
24,48,1,1
0,49,2,0
1,49,1,1
2,49,1,1
3,49,2,3
4,49,1,1
5,49,1,1
6,49,1,1
7,49,1,3
8,49,1,1
9,49,1,1
10,49,1,1
11,49,1,3
12,49,1,1
13,49,0,1
14,49,1,1
15,49,2,2
16,49,1,2
17,49,1,1
18,49,1,1
19,49,1,1
20,49,1,1
21,49,1,1
22,49,1,1
23,49,1,2
24,49,1,1
0,50,3,2
1,50,1,1
2,50,1,1
3,50,1,1
4,50,1,1
5,50,1,1
6,50,1,1
7,50,3,3
8,50,1,1
9,50,1,1
10,50,1,1
11,50,1,1
12,50,1,2
13,50,0,2
14,50,1,1
15,50,2,2
16,50,1,2
17,50,1,1
18,50,1,1
19,50,1,1
20,50,1,1
21,50,1,1
22,50,1,1
23,50,3,3
24,50,1,1
0,51,3,2
1,51,2,0
2,51,1,1
3,51,1,1
4,51,1,1
5,51,1,1
6,51,1,1
7,51,3,2
8,51,1,1
9,51,1,1
10,51,1,1
11,51,3,2
12,51,1,1
13,51,0,1
14,51,3,2
15,51,2,2
16,51,1,2
17,51,1,1
18,51,1,1
19,51,1,1
20,51,1,1
21,51,1,1
22,51,1,1
23,51,1,2
24,51,1,1
0,52,1,0
1,52,1,1
2,52,1,1
3,52,1,1
4,52,1,1
5,52,1,1
6,52,1,1
7,52,1,3
8,52,1,1
9,52,1,1
10,52,1,1
11,52,1,3
12,52,1,1
13,52,0,1
14,52,1,1
15,52,2,2
16,52,1,2
17,52,1,1
18,52,1,1
19,52,1,1
20,52,1,1
21,52,1,1
22,52,1,1
23,52,1,2
24,52,1,1
0,53,3,2
1,53,1,1
2,53,1,1
3,53,1,1
4,53,1,1
5,53,1,1
6,53,1,1
7,53,1,1
8,53,1,1
9,53,1,1
10,53,1,1
11,53,1,1
12,53,1,1
13,53,1,1
14,53,1,1
15,53,2,1
16,53,1,1
17,53,2,2
18,53,2,2
19,53,1,1
20,53,1,1
21,53,1,1
22,53,1,1
23,53,1,1
24,53,1,1
0,54,3,2
1,54,1,1
2,54,1,1
3,54,1,1
4,54,1,1
5,54,1,1
6,54,1,1
7,54,1,1
8,54,1,1
9,54,1,1
10,54,1,1
11,54,1,1
12,54,1,1
13,54,1,1
14,54,3,0
15,54,2,1
16,54,1,1
17,54,1,1
18,54,2,3
19,54,1,1
20,54,1,1
21,54,1,1
22,54,1,1
23,54,1,1
24,54,1,1
0,55,2,0
1,55,1,1
2,55,1,1
3,55,2,3
4,55,1,1
5,55,1,1
6,55,1,1
7,55,1,3
8,55,1,1
9,55,1,1
10,55,1,1
11,55,1,3
12,55,1,1
13,55,0,1
14,55,1,1
15,55,2,2
16,55,1,2
17,55,1,1
18,55,1,1
19,55,1,1
20,55,1,1
21,55,1,1
22,55,1,1
23,55,1,2
24,55,1,1
0,56,2,0
1,56,1,1
2,56,1,1
3,56,2,3
4,56,1,1
5,56,1,1
6,56,1,1
7,56,1,3
8,56,1,1
9,56,1,1
10,56,1,1
11,56,1,3
12,56,1,1
13,56,0,1
14,56,1,1
15,56,2,2
16,56,1,2
17,56,1,1
18,56,1,1
19,56,1,1
20,56,1,1
21,56,1,1
22,56,1,1
23,56,1,2
24,56,1,1
0,57,3,2
1,57,1,1
2,57,1,1
3,57,1,1
4,57,1,1
5,57,1,1
6,57,1,1
7,57,1,1
8,57,1,1
9,57,1,1
10,57,1,1
11,57,1,1
12,57,1,1
13,57,1,1
14,57,3,0
15,57,2,1
16,57,1,1
17,57,1,1
18,57,2,3
19,57,1,1
20,57,1,1
21,57,1,1
22,57,1,1
23,57,1,1
24,57,1,1
0,58,2,0
1,58,1,1
2,58,1,1
3,58,2,3
4,58,1,1
5,58,1,1
6,58,1,1
7,58,1,3
8,58,1,1
9,58,1,1
10,58,1,1
11,58,1,3
12,58,1,1
13,58,0,1
14,58,1,1
15,58,2,2
16,58,1,2
17,58,1,1
18,58,1,1
19,58,1,1
20,58,1,1
21,58,1,1
22,58,1,1
23,58,1,2
24,58,1,1
0,59,3,2
1,59,2,3
2,59,2,1
3,59,1,1
4,59,1,1
5,59,1,1
6,59,1,1
7,59,3,2
8,59,3,3
9,59,1,1
10,59,1,1
11,59,3,2
12,59,1,1
13,59,0,1
14,59,3,2
15,59,2,2
16,59,1,2
17,59,1,1
18,59,1,1
19,59,1,1
20,59,1,1
21,59,1,1
22,59,1,1
23,59,1,2
24,59,1,1
0,60,3,2
1,60,1,1
2,60,1,1
3,60,1,1
4,60,1,1
5,60,1,1
6,60,1,1
7,60,1,1
8,60,1,1
9,60,1,1
10,60,1,1
11,60,1,1
12,60,1,1
13,60,1,1
14,60,1,1
15,60,2,1
16,60,1,1
17,60,2,2
18,60,2,2
19,60,1,1
20,60,1,1
21,60,1,1
22,60,1,1
23,60,1,1
24,60,1,1
0,61,2,0
1,61,1,1
2,61,1,1
3,61,2,3
4,61,1,1
5,61,1,1
6,61,1,1
7,61,1,3
8,61,1,1
9,61,1,1
10,61,1,1
11,61,1,3
12,61,1,1
13,61,0,1
14,61,1,1
15,61,2,2
16,61,1,2
17,61,1,1
18,61,1,1
19,61,1,1
20,61,1,1
21,61,1,1
22,61,1,1
23,61,1,2
24,61,1,1
0,62,1,0
1,62,1,1
2,62,1,1
3,62,1,1
4,62,1,1
5,62,1,1
6,62,1,1
7,62,1,3
8,62,1,1
9,62,1,1
10,62,1,1
11,62,1,3
12,62,1,1
13,62,0,1
14,62,1,1
15,62,2,2
16,62,1,2
17,62,1,1
18,62,1,1
19,62,1,1
20,62,1,1
21,62,1,1
22,62,1,1
23,62,1,2
24,62,1,1
0,63,3,2
1,63,2,3
2,63,2,1
3,63,1,1
4,63,1,1
5,63,1,1
6,63,1,1
7,63,3,2
8,63,3,3
9,63,1,1
10,63,1,1
11,63,3,2
12,63,1,1
13,63,0,1
14,63,3,2
15,63,2,2
16,63,1,2
17,63,1,1
18,63,1,1
19,63,1,1
20,63,1,1
21,63,1,1
22,63,1,1
23,63,1,2
24,63,1,1
0,64,3,2
1,64,1,1
2,64,1,1
3,64,1,1
4,64,1,1
5,64,1,1
6,64,1,1
7,64,1,1
8,64,1,1
9,64,1,1
10,64,1,1
11,64,1,1
12,64,1,1
13,64,1,1
14,64,1,1
15,64,1,1
16,64,1,1
17,64,1,1
18,64,1,1
19,64,1,1
20,64,1,1
21,64,1,1
22,64,1,1
23,64,1,1
24,64,1,1
0,65,3,2
1,65,1,1
2,65,1,1
3,65,1,1
4,65,1,1
5,65,1,1
6,65,1,1
7,65,1,1
8,65,1,1
9,65,1,1
10,65,1,1
11,65,1,1
12,65,1,1
13,65,1,1
14,65,1,1
15,65,1,1
16,65,1,1
17,65,1,1
18,65,1,1
19,65,1,1
20,65,1,1
21,65,1,1
22,65,1,1
23,65,1,1
24,65,1,1
0,66,1,0
1,66,1,1
2,66,1,1
3,66,1,1
4,66,1,1
5,66,1,1
6,66,1,1
7,66,1,3
8,66,1,1
9,66,1,1
10,66,1,1
11,66,1,3
12,66,1,1
13,66,0,1
14,66,1,1
15,66,2,2
16,66,1,2
17,66,1,1
18,66,1,1
19,66,1,1
20,66,1,1
21,66,1,1
22,66,1,1
23,66,1,2
24,66,1,1
0,67,3,2
1,67,1,1
2,67,1,1
3,67,1,1
4,67,1,1
5,67,1,1
6,67,1,1
7,67,1,1
8,67,1,1
9,67,1,1
10,67,1,1
11,67,1,1
12,67,1,1
13,67,1,1
14,67,3,0
15,67,2,1
16,67,1,1
17,67,1,1
18,67,2,3
19,67,1,1
20,67,1,1
21,67,1,1
22,67,1,1
23,67,1,1
24,67,1,1
0,68,2,0
1,68,1,1
2,68,1,1
3,68,2,3
4,68,1,1
5,68,1,1
6,68,1,1
7,68,1,3
8,68,1,1
9,68,1,1
10,68,1,1
11,68,1,3
12,68,1,1
13,68,0,1
14,68,1,1
15,68,2,2
16,68,1,2
17,68,1,1
18,68,1,1
19,68,1,1
20,68,1,1
21,68,1,1
22,68,1,1
23,68,1,2
24,68,1,1
0,69,2,0
1,69,1,1
2,69,1,1
3,69,2,3
4,69,1,1
5,69,1,1
6,69,1,1
7,69,1,3
8,69,1,1
9,69,1,1
10,69,1,1
11,69,1,3
12,69,1,1
13,69,0,1
14,69,1,1
15,69,2,2
16,69,1,2
17,69,1,1
18,69,1,1
19,69,1,1
