segment,cell,copiesX,copiesY
0,0,3,2
1,0,1,1
2,0,1,1
3,0,1,1
4,0,1,1
5,0,1,1
6,0,1,1
7,0,3,3
8,0,1,1
9,0,1,1
10,0,1,1
11,0,1,1
12,0,1,2
13,0,0,2
14,0,1,1
15,0,2,2
16,0,1,2
17,0,1,1
18,0,1,1
19,0,1,1
20,0,1,1
21,0,1,1
22,0,1,1
23,0,3,3
24,0,1,1
0,1,3,2
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,2,1
16,1,1,1
17,1,2,2
18,1,2,2
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
0,2,1,0
1,2,1,1
2,2,1,1
3,2,1,1
4,2,1,1
5,2,1,1
6,2,1,1
7,2,1,3
8,2,1,1
9,2,1,1
10,2,1,1
11,2,1,3
12,2,1,1
13,2,0,1
14,2,1,1
15,2,2,2
16,2,1,2
17,2,1,1
18,2,1,1
19,2,1,1
20,2,1,1
21,2,1,1
22,2,1,1
23,2,1,2
24,2,1,1
0,3,3,2
1,3,1,1
2,3,1,1
3,3,1,1
4,3,1,1
5,3,1,1
6,3,1,1
7,3,1,1
8,3,1,1
9,3,1,1
10,3,1,1
11,3,1,1
12,3,1,1
13,3,1,1
14,3,1,1
15,3,1,1
16,3,1,1
17,3,1,1
18,3,1,1
19,3,1,1
20,3,1,1
21,3,1,1
22,3,1,1
23,3,1,1
24,3,1,1
0,4,1,0
1,4,1,1
2,4,1,1
3,4,1,1
4,4,1,1
5,4,1,1
6,4,1,1
7,4,1,3
8,4,1,1
9,4,1,1
10,4,1,1
11,4,1,3
12,4,1,1
13,4,0,1
14,4,1,1
15,4,2,2
16,4,1,2
17,4,1,1
18,4,1,1
19,4,1,1
20,4,1,1
21,4,1,1
22,4,1,1
23,4,1,2
24,4,1,1
0,5,1,0
1,5,1,1
2,5,1,1
3,5,1,1
4,5,1,1
5,5,1,1
6,5,1,1
7,5,1,3
8,5,1,1
9,5,1,1
10,5,1,1
11,5,1,3
12,5,1,1
13,5,0,1
14,5,1,1
15,5,2,2
16,5,1,2
17,5,1,1
18,5,1,1
19,5,1,1
20,5,1,1
21,5,1,1
22,5,1,1
23,5,1,2
24,5,1,1
0,6,3,2
1,6,1,1
2,6,1,1
3,6,1,1
4,6,1,1
5,6,1,1
6,6,1,1
7,6,1,1
8,6,1,1
9,6,1,1
10,6,1,1
11,6,1,1
12,6,1,1
13,6,1,1
14,6,1,1
15,6,1,1
16,6,1,1
17,6,1,1
18,6,1,1
19,6,1,1
20,6,1,1
21,6,1,1
22,6,1,1
23,6,1,1
24,6,1,1
0,7,2,0
1,7,1,1
2,7,1,1
3,7,2,3
4,7,1,1
5,7,1,1
6,7,1,1
7,7,1,3
8,7,1,1
9,7,1,1
10,7,1,1
11,7,1,3
12,7,1,1
13,7,0,1
14,7,1,1
15,7,2,2
16,7,1,2
17,7,1,1
18,7,1,1
19,7,1,1
20,7,1,1
21,7,1,1
22,7,1,1
23,7,1,2
24,7,1,1
0,8,2,0
1,8,1,1
2,8,1,1
3,8,2,3
4,8,1,1
5,8,1,1
6,8,1,1
7,8,1,3
8,8,1,1
9,8,1,1
10,8,1,1
11,8,1,3
12,8,1,1
13,8,0,1
14,8,1,1
15,8,2,2
16,8,1,2
17,8,1,1
18,8,1,1
19,8,1,1
20,8,1,1
21,8,1,1
22,8,1,1
23,8,1,2
24,8,1,1
0,9,3,2
1,9,1,1
2,9,1,1
3,9,1,1
4,9,1,1
5,9,1,1
6,9,1,1
7,9,1,1
8,9,1,1
9,9,1,1
10,9,1,1
11,9,1,1
12,9,1,1
13,9,1,1
14,9,3,0
15,9,2,1
16,9,1,1
17,9,1,1
18,9,2,3
19,9,1,1
20,9,1,1
21,9,1,1
22,9,1,1
23,9,1,1
24,9,1,1
0,10,2,0
1,10,1,1
2,10,1,1
3,10,2,3
4,10,1,1
5,10,1,1
6,10,1,1
7,10,1,3
8,10,1,1
9,10,1,1
10,10,1,1
11,10,1,3
12,10,1,1
13,10,0,1
14,10,1,1
15,10,2,2
16,10,1,2
17,10,1,1
18,10,1,1
19,10,1,1
20,10,1,1
21,10,1,1
22,10,1,1
23,10,1,2
24,10,1,1
0,11,3,2
1,11,1,1
2,11,1,1
3,11,1,1
4,11,1,1
5,11,1,1
6,11,1,1
7,11,1,1
8,11,1,1
9,11,1,1
10,11,1,1
11,11,1,1
12,11,1,1
13,11,1,1
14,11,1,1
15,11,2,1
16,11,1,1
17,11,2,2
18,11,2,2
19,11,1,1
20,11,1,1
21,11,1,1
22,11,1,1
23,11,1,1
24,11,1,1
0,12,3,2
1,12,1,1
2,12,1,1
3,12,1,1
4,12,1,1
5,12,1,1
6,12,1,1
7,12,1,1
8,12,1,1
9,12,1,1
10,12,1,1
11,12,1,1
12,12,1,1
13,12,1,1
14,12,3,0
15,12,2,1
16,12,1,1
17,12,1,1
18,12,2,3
19,12,1,1
20,12,1,1
21,12,1,1
22,12,1,1
23,12,1,1
24,12,1,1
0,13,3,2
1,13,1,1
2,13,1,1
3,13,1,1
4,13,1,1
5,13,1,1
6,13,1,1
7,13,3,3
8,13,1,1
9,13,1,1
10,13,1,1
11,13,1,1
12,13,1,2
13,13,0,2
14,13,1,1
15,13,2,2
16,13,1,2
17,13,1,1
18,13,1,1
19,13,1,1
20,13,1,1
21,13,1,1
22,13,1,1
23,13,3,3
24,13,1,1
0,14,3,2
1,14,1,1
2,14,1,1
3,14,1,1
4,14,1,1
5,14,1,1
6,14,1,1
7,14,1,1
8,14,1,1
9,14,1,1
10,14,1,1
11,14,1,1
12,14,1,1
13,14,1,1
14,14,1,1
15,14,2,1
16,14,1,1
17,14,2,2
18,14,2,2
19,14,1,1
20,14,1,1
21,14,1,1
22,14,1,1
23,14,1,1
24,14,1,1
0,15,2,0
1,15,1,1
2,15,1,1
3,15,2,3
4,15,1,1
5,15,1,1
6,15,1,1
7,15,1,3
8,15,1,1
9,15,1,1
10,15,1,1
11,15,1,3
12,15,1,1
13,15,0,1
14,15,1,1
15,15,2,2
16,15,1,2
17,15,1,1
18,15,1,1
19,15,1,1
20,15,1,1
21,15,1,1
22,15,1,1
23,15,1,2
24,15,1,1
0,16,3,2
1,16,2,0
2,16,1,1
3,16,1,1
4,16,1,1
5,16,1,1
6,16,1,1
7,16,3,2
8,16,1,1
9,16,1,1
10,16,1,1
11,16,3,2
12,16,1,1
13,16,0,1
14,16,3,2
15,16,2,2
16,16,1,2
17,16,1,1
18,16,1,1
19,16,1,1
20,16,1,1
21,16,1,1
22,16,1,1
23,16,1,2
24,16,1,1
0,17,3,2
1,17,2,3
2,17,2,1
3,17,1,1
4,17,1,1
5,17,1,1
6,17,1,1
7,17,3,2
8,17,3,3
9,17,1,1
10,17,1,1
11,17,3,2
12,17,1,1
13,17,0,1
14,17,3,2
15,17,2,2
16,17,1,2
17,17,1,1
18,17,1,1
19,17,1,1
20,17,1,1
21,17,1,1
22,17,1,1
23,17,1,2
24,17,1,1
0,18,2,0
1,18,1,1
2,18,1,1
3,18,2,3
4,18,1,1
5,18,1,1
6,18,1,1
7,18,1,3
8,18,1,1
9,18,1,1
10,18,1,1
11,18,1,3
12,18,1,1
13,18,0,1
14,18,1,1
15,18,2,2
16,18,1,2
17,18,1,1
18,18,1,1
19,18,1,1
20,18,1,1
21,18,1,1
22,18,1,1
23,18,1,2
24,18,1,1
0,19,3,2
1,19,2,3
2,19,2,1
3,19,1,1
4,19,1,1
5,19,1,1
6,19,1,1
7,19,3,2
8,19,3,3
9,19,1,1
10,19,1,1
11,19,3,2
12,19,1,1
13,19,0,1
14,19,3,2
15,19,2,2
16,19,1,2
17,19,1,1
18,19,1,1
19,19,1,1
20,19,1,1
21,19,1,1
22,19,1,1
23,19,1,2
24,19,1,1
0,20,1,0
1,20,1,1
2,20,1,1
3,20,1,1
4,20,1,1
5,20,1,1
6,20,1,1
7,20,1,3
8,20,1,1
9,20,1,1
10,20,1,1
11,20,1,3
12,20,1,1
13,20,0,1
14,20,1,1
15,20,2,2
16,20,1,2
17,20,1,1
18,20,1,1
19,20,1,1
20,20,1,1
21,20,1,1
22,20,1,1
23,20,1,2
24,20,1,1
0,21,3,2
1,21,1,1
2,21,1,1
3,21,1,1
4,21,1,1
5,21,1,1
6,21,1,1
7,21,1,1
8,21,1,1
9,21,1,1
10,21,1,1
11,21,1,1
12,21,1,1
13,21,1,1
14,21,3,0
15,21,2,1
16,21,1,1
17,21,1,1
18,21,2,3
19,21,1,1
20,21,1,1
21,21,1,1
22,21,1,1
23,21,1,1
24,21,1,1
0,22,3,2
1,22,1,1
2,22,1,1
3,22,1,1
4,22,1,1
5,22,1,1
6,22,1,1
7,22,1,1
8,22,1,1
9,22,1,1
10,22,1,1
11,22,1,1
12,22,1,1
13,22,1,1
14,22,1,1
15,22,2,1
16,22,1,1
17,22,2,2
18,22,2,2
19,22,1,1
20,22,1,1
21,22,1,1
22,22,1,1
23,22,1,1
24,22,1,1
0,23,2,0
1,23,1,1
2,23,1,1
3,23,2,3
4,23,1,1
5,23,1,1
6,23,1,1
7,23,1,3
8,23,1,1
9,23,1,1
10,23,1,1
11,23,1,3
12,23,1,1
13,23,0,1
14,23,1,1
15,23,2,2
16,23,1,2
17,23,1,1
18,23,1,1
19,23,1,1
20,23,1,1
21,23,1,1
22,23,1,1
23,23,1,2
24,23,1,1
0,24,2,0
1,24,1,1
2,24,1,1
3,24,2,3
4,24,1,1
5,24,1,1
6,24,1,1
7,24,1,3
8,24,1,1
9,24,1,1
10,24,1,1
11,24,1,3
12,24,1,1
13,24,0,1
14,24,1,1
15,24,2,2
16,24,1,2
17,24,1,1
18,24,1,1
19,24,1,1
20,24,1,1
21,24,1,1
22,24,1,1
23,24,1,2
24,24,1,1
0,25,3,2
1,25,2,0
2,25,1,1
3,25,1,1
4,25,1,1
5,25,1,1
6,25,1,1
7,25,3,2
8,25,1,1
9,25,1,1
10,25,1,1
11,25,3,2
12,25,1,1
13,25,0,1
14,25,3,2
15,25,2,2
16,25,1,2
17,25,1,1
18,25,1,1
19,25,1,1
20,25,1,1
21,25,1,1
22,25,1,1
23,25,1,2
24,25,1,1
0,26,3,2
1,26,1,1
2,26,1,1
3,26,1,1
4,26,1,1
5,26,1,1
6,26,1,1
7,26,1,1
8,26,1,1
9,26,1,1
10,26,1,1
11,26,1,1
12,26,1,1
13,26,1,1
14,26,1,1
15,26,2,1
16,26,1,1
17,26,2,2
18,26,2,2
19,26,1,1
20,26,1,1
21,26,1,1
22,26,1,1
23,26,1,1
24,26,1,1
0,27,1,0
1,27,1,1
2,27,1,1
3,27,1,1
4,27,1,1
5,27,1,1
6,27,1,1
7,27,1,3
8,27,1,1
9,27,1,1
10,27,1,1
11,27,1,3
12,27,1,1
13,27,0,1
14,27,1,1
15,27,2,2
16,27,1,2
17,27,1,1
18,27,1,1
19,27,1,1
20,27,1,1
21,27,1,1
22,27,1,1
23,27,1,2
24,27,1,1
0,28,3,2
1,28,1,1
2,28,1,1
3,28,1,1
4,28,1,1
5,28,1,1
6,28,1,1
7,28,1,1
8,28,1,1
9,28,1,1
10,28,1,1
11,28,1,1
12,28,1,1
13,28,1,1
14,28,3,0
15,28,2,1
16,28,1,1
17,28,1,1
18,28,2,3
19,28,1,1
20,28,1,1
21,28,1,1
22,28,1,1
23,28,1,1
24,28,1,1
0,29,1,0
1,29,1,1
2,29,1,1
3,29,1,1
4,29,1,1
5,29,1,1
6,29,1,1
7,29,1,3
8,29,1,1
9,29,1,1
10,29,1,1
11,29,1,3
12,29,1,1
13,29,0,1
14,29,1,1
15,29,2,2
16,29,1,2
17,29,1,1
18,29,1,1
19,29,1,1
20,29,1,1
21,29,1,1
22,29,1,1
23,29,1,2
24,29,1,1
0,30,3,2
1,30,1,1
2,30,1,1
3,30,1,1
4,30,1,1
5,30,1,1
6,30,1,1
7,30,1,1
8,30,1,1
9,30,1,1
10,30,1,1
11,30,1,1
12,30,1,1
13,30,1,1
14,30,3,0
15,30,2,1
16,30,1,1
17,30,1,1
18,30,2,3
19,30,1,1
20,30,1,1
21,30,1,1
22,30,1,1
23,30,1,1
24,30,1,1
0,31,3,2
1,31,1,1
2,31,1,1
3,31,1,1
4,31,1,1
5,31,1,1
6,31,1,1
7,31,1,1
8,31,1,1
9,31,1,1
10,31,1,1
11,31,1,1
12,31,1,1
13,31,1,1
14,31,1,1
15,31,1,1
16,31,1,1
17,31,1,1
18,31,1,1
19,31,1,1
20,31,1,1
21,31,1,1
22,31,1,1
23,31,1,1
24,31,1,1
0,32,3,2
1,32,1,1
2,32,1,1
3,32,1,1
4,32,1,1
5,32,1,1
6,32,1,1
7,32,1,1
8,32,1,1
9,32,1,1
10,32,1,1
11,32,1,1
12,32,1,1
13,32,1,1
14,32,1,1
15,32,1,1
16,32,1,1
17,32,1,1
18,32,1,1
19,32,1,1
20,32,1,1
21,32,1,1
22,32,1,1
23,32,1,1
24,32,1,1
0,33,3,2
1,33,1,1
2,33,1,1
3,33,1,1
4,33,1,1
5,33,1,1
6,33,1,1
7,33,1,1
8,33,1,1
9,33,1,1
10,33,1,1
11,33,1,1
12,33,1,1
13,33,1,1
14,33,1,1
15,33,1,1
16,33,1,1
17,33,1,1
18,33,1,1
19,33,1,1
20,33,1,1
21,33,1,1
22,33,1,1
23,33,1,1
24,33,1,1
0,34,2,0
1,34,1,1
2,34,1,1
3,34,2,3
4,34,1,1
5,34,1,1
6,34,1,1
7,34,1,3
8,34,1,1
9,34,1,1
10,34,1,1
11,34,1,3
12,34,1,1
13,34,0,1
14,34,1,1
15,34,2,2
16,34,1,2
17,34,1,1
18,34,1,1
19,34,1,1
20,34,1,1
21,34,1,1
22,34,1,1
23,34,1,2
24,34,1,1
0,35,2,0
1,35,1,1
2,35,1,1
3,35,2,3
4,35,1,1
5,35,1,1
6,35,1,1
7,35,1,3
8,35,1,1
9,35,1,1
10,35,1,1
11,35,1,3
12,35,1,1
13,35,0,1
14,35,1,1
15,35,2,2
16,35,1,2
17,35,1,1
18,35,1,1
19,35,1,1
20,35,1,1
21,35,1,1
22,35,1,1
23,35,1,2
24,35,1,1
0,36,1,0
1,36,1,1
2,36,1,1
3,36,1,1
4,36,1,1
5,36,1,1
6,36,1,1
7,36,1,3
8,36,1,1
9,36,1,1
10,36,1,1
11,36,1,3
12,36,1,1
13,36,0,1
14,36,1,1
15,36,2,2
16,36,1,2
17,36,1,1
18,36,1,1
19,36,1,1
20,36,1,1
21,36,1,1
22,36,1,1
23,36,1,2
24,36,1,1
0,37,3,2
1,37,1,1
2,37,1,1
3,37,1,1
4,37,1,1
5,37,1,1
6,37,1,1
7,37,1,1
8,37,1,1
9,37,1,1
10,37,1,1
11,37,1,1
12,37,1,1
13,37,1,1
14,37,3,0
15,37,2,1
16,37,1,1
17,37,1,1
18,37,2,3
19,37,1,1
20,37,1,1
21,37,1,1
22,37,1,1
23,37,1,1
24,37,1,1
0,38,3,2
1,38,2,3
2,38,2,1
3,38,1,1
4,38,1,1
5,38,1,1
6,38,1,1
7,38,3,2
8,38,3,3
9,38,1,1
10,38,1,1
11,38,3,2
12,38,1,1
13,38,0,1
14,38,3,2
15,38,2,2
16,38,1,2
17,38,1,1
18,38,1,1
19,38,1,1
20,38,1,1
21,38,1,1
22,38,1,1
23,38,1,2
24,38,1,1
0,39,1,0
1,39,1,1
2,39,1,1
3,39,1,1
4,39,1,1
5,39,1,1
6,39,1,1
7,39,1,3
8,39,1,1
9,39,1,1
10,39,1,1
11,39,1,3
12,39,1,1
13,39,0,1
14,39,1,1
15,39,2,2
16,39,1,2
17,39,1,1
18,39,1,1
19,39,1,1
20,39,1,1
21,39,1,1
22,39,1,1
23,39,1,2
24,39,1,1
0,40,2,0
1,40,1,1
2,40,1,1
3,40,2,3
4,40,1,1
5,40,1,1
6,40,1,1
7,40,1,3
8,40,1,1
9,40,1,1
10,40,1,1
11,40,1,3
12,40,1,1
13,40,0,1
14,40,1,1
15,40,2,2
