chr,segment,cell,cn
1,0,SA1090-A96213A-R20-C09,1|1
1,0,SA1090-A96213A-R20-C09,2|0
1,0,SA1090-A96213A-R20-C09,2|1
1,0,SA1090-A96213A-R20-C09,3|0
1,0,SA1090-A96213A-R20-C11,2|0
1,0,SA1090-A96213A-R20-C11,2|1
1,0,SA1090-A96213A-R20-C11,3|0
1,0,SA1090-A96213A-R20-C12,1|1
1,0,SA1090-A96213A-R20-C12,2|1
1,0,SA1090-A96213A-R20-C12,3|0
1,0,SA1090-A96213A-R20-C12,3|1
1,0,SA1090-A96213A-R20-C13,2|1
1,0,SA1090-A96213A-R20-C13,3|1
1,0,SA1090-A96213A-R20-C13,3|2
1,0,SA1090-A96213A-R20-C13,4|0
1,0,SA1090-A96213A-R20-C13,4|2
1,0,SA1090-A96213A-R20-C13,5|0
1,0,SA1090-A96213A-R20-C17,1|0
1,0,SA1090-A96213A-R20-C17,2|0
1,0,SA1090-A96213A-R20-C19,1|1
1,0,SA1090-A96213A-R20-C19,2|0
1,0,SA1090-A96213A-R20-C19,2|1
1,0,SA1090-A96213A-R20-C19,3|0
1,0,SA1090-A96213A-R20-C21,2|1
1,0,SA1090-A96213A-R20-C21,3|1
1,0,SA1090-A96213A-R20-C21,3|2
1,0,SA1090-A96213A-R20-C21,4|0
1,0,SA1090-A96213A-R20-C21,4|2
1,0,SA1090-A96213A-R20-C22,1|1
1,0,SA1090-A96213A-R20-C22,2|1
1,0,SA1090-A96213A-R20-C22,3|0
1,0,SA1090-A96213A-R20-C22,3|1
1,0,SA1090-A96213A-R20-C24,1|1
1,0,SA1090-A96213A-R20-C24,2|0
1,0,SA1090-A96213A-R20-C24,2|1
1,0,SA1090-A96213A-R20-C25,2|1
1,0,SA1090-A96213A-R20-C25,3|0
1,0,SA1090-A96213A-R20-C25,3|1
1,0,SA1090-A96213A-R20-C27,1|1
1,0,SA1090-A96213A-R20-C27,2|0
1,0,SA1090-A96213A-R20-C27,2|1
1,0,SA1090-A96213A-R20-C28,2|2
